"Part";"Value";"Device";"Package";"Description";"";
"C1";"10u";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";
"C2";".1u";"CAP0805";"0805";"Capacitor";"";
"C3";"10u";"CAP0805";"0805";"Capacitor";"";
"C4";"10u";"CAP0805";"0805";"Capacitor";"";
"C5";"10n";"CAP0805";"0805";"Capacitor";"";
"D1";"";"DIODEPTH";"DIODE-1N4001";"Diode";"";
"IC1";"MEGA48/88/168-AU";"MEGA48/88/168-AU";"TQFP32-08";"";"";
"J1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";
"JP1";"MOTOR_CON";"M02";"1X02_LONGPADS";"Header 2";"";
"JP2";"SENSE_CON";"M02";"1X02_LONGPADS";"Header 2";"";
"JP3";"POWER_CON";"M02";"1X02_LONGPADS";"Header 2";"";
"JP4";"SWITCH_CON";"M031X03_NO_SILK";"1X03_NO_SILK";"Header 3";"";
"JP5";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";
"MOTOR";"DMN53D0LW";"DMN53D0LW";"SOT-323";"";"";
"PULSE";"DMN53D0LW";"DMN53D0LW";"SOT-323";"";"";
"R1";"";"RESISTOR1206";"1206";"Resistor";"";
"R2";"";"RESISTOR1206";"1206";"Resistor";"";
"R3";"";"RESISTOR1206";"1206";"Resistor";"";
"U$1";"DC-DC-R78E-0500";"DC-DC-R78E-0500";"DC-DC-R78E-0500";"The R-78E series is a switching regulator module that has been designed to offer all the advantages of a";"";
"U$2";"DIODE-ZENERPTH";"DIODE-ZENERPTH";"DIODE-ZENER";"Zener Diode";"";
